client_id	round	val_accuracy	val_f1_score	val_loss	val_precision	val_recall
6	19	0.7209775967413442	0.8359281437125748	0.5894741468323879	0.7195876288659794	0.9971428571428571
3	19	0.7252336448598131	0.8372093023255814	0.5686029015415258	0.72552783109405	0.9895287958115183
3	20	0.719626168224299	0.834070796460177	0.5710255989711641	0.7222222222222222	0.9869109947643979
12	20	0.6699029126213593	0.7976190476190477	0.5703112369948155	0.6781376518218624	0.9682080924855492
9	20	0.6736242884250474	0.8041002277904328	0.5873878494108515	0.6788461538461539	0.9860335195530726
2	20	0.7065868263473054	0.827262044653349	0.617227093841247	0.7082494969818913	0.9943502824858758
15	20	0.6903846153846154	0.8085612366230678	0.5366889964738586	0.6827309236947792	0.9912536443148688
3	21	0.719626168224299	0.834070796460177	0.571748422655931	0.7222222222222222	0.9869109947643979
6	21	0.7209775967413442	0.8359281437125748	0.5933100491984191	0.7195876288659794	0.9971428571428571
13	21	0.8030592734225621	0.8886486486486487	0.5078438838641175	0.802734375	0.9951573849878934
11	21	0.7696737044145874	0.8669623059866962	0.5266516925760552	0.7773359840954275	0.9799498746867168
5	21	0.735812133072407	0.8457142857142858	0.5253979270977173	0.7326732673267327	1.0
3	22	0.7140186915887851	0.8298109010011123	0.5765273111688338	0.7214700193423598	0.9764397905759162
6	22	0.7189409368635438	0.8349282296650717	0.5940289411393685	0.7181069958847737	0.9971428571428571
5	22	0.735812133072407	0.8457142857142858	0.5231792400884294	0.7326732673267327	1.0
14	22	0.7455621301775148	0.852233676975945	0.556395423797665	0.7515151515151515	0.9841269841269841
1	22	0.9168356997971603	0.9490683229813665	0.24947241728524022	0.9160671462829736	0.9845360824742269
1	23	0.920892494929006	0.9516728624535316	0.2287272198211585	0.9164677804295943	0.9896907216494846
7	23	0.7996146435452793	0.8810068649885584	0.47499420753515764	0.8004158004158004	0.9796437659033079
3	23	0.7140186915887851	0.8313120176405733	0.5811942457943802	0.7180952380952381	0.9869109947643979
6	23	0.714867617107943	0.8325358851674641	0.5945944110037389	0.7160493827160493	0.9942857142857143
12	23	0.6776699029126214	0.8028503562945368	0.5636906859189843	0.6814516129032258	0.976878612716763
12	24	0.6699029126213593	0.7966507177033493	0.5669396212637039	0.6795918367346939	0.9624277456647399
14	24	0.7534516765285996	0.8558246828143022	0.5755145158661615	0.7586912065439673	0.9814814814814815
5	24	0.7416829745596869	0.8486238532110092	0.5085315221517384	0.7370517928286853	1.0
13	24	0.7954110898661568	0.8838219326818675	0.5093537055031266	0.8011811023622047	0.9854721549636803
4	24	0.6861598440545809	0.807185628742515	0.6109879124134131	0.6821862348178138	0.9882697947214076
2	25	0.7005988023952096	0.8222748815165877	0.6228364279883283	0.7081632653061225	0.980225988700565
3	25	0.7158878504672898	0.8322295805739515	0.6047192193590207	0.7194656488549618	0.9869109947643979
5	25	0.7436399217221135	0.8495981630309989	0.5034283811494307	0.7385229540918163	1.0
14	25	0.747534516765286	0.8518518518518519	0.5738039095720335	0.757201646090535	0.9735449735449735
10	25	0.7041742286751361	0.8218579234972677	0.5824843214177677	0.7216890595009597	0.9543147208121827
